응답ID,부서,직급,Q1_전반만족도(1-5),Q2_업무도움정도(1-5),Q3_사용빈도(1-5),Q4_교육필요성(1-5),자유응답
R001,R&D전략,대리,1,2,1,3,최신 논문이나 데이터는 못 찾아주는 것 같습니다
R002,마케팅,과장,3,4,2,5,검색보다 빠르게 개념 파악할 때 좋습니다
R003,임상개발,대리,1,1,2,4,출처를 안 줘서 보고서에 쓰기 애매합니다
R004,임상개발,과장,4,3,5,3,보고서 초안 잡을 때 제일 많이 씁니다
R005,마케팅,과장,3,2,4,3,
R006,경영지원,대리,2,2,1,3,최신 논문이나 데이터는 못 찾아주는 것 같습니다
R007,임상개발,차장,1,1,1,5,출처를 안 줘서 보고서에 쓰기 애매합니다
R008,경영지원,과장,2,2,2,4,사내 자료는 못 보니까 반쪽짜리 같아요
R009,사업개발,차장,1,1,1,4,최신 논문이나 데이터는 못 찾아주는 것 같습니다
R010,임상개발,차장,4,3,3,3,번역 품질이 생각보다 좋아요
R011,경영지원,차장,4,4,5,5,번역 품질이 생각보다 좋아요
R012,사업개발,과장,4,4,5,5,검색보다 빠르게 개념 파악할 때 좋습니다
R013,연구기획,대리,4,3,2,3,
R014,마케팅,차장,3,2,4,5,최신 논문이나 데이터는 못 찾아주는 것 같습니다
R015,임상개발,차장,3,3,3,3,보고서 초안 잡을 때 제일 많이 씁니다
R016,경영지원,팀장,3,3,1,4,요약 기능은 만족합니다
R017,임상개발,차장,4,4,2,5,번역 품질이 생각보다 좋아요
R018,마케팅,사원,4,4,2,4,요약 기능은 만족합니다
R019,마케팅,대리,5,5,4,5,보고서 초안 잡을 때 제일 많이 씁니다
R020,경영지원,과장,5,5,5,5,검색보다 빠르게 개념 파악할 때 좋습니다
R021,임상개발,사원,5,5,4,3,보고서 초안 잡을 때 제일 많이 씁니다
R022,연구기획,사원,4,3,2,3,검색보다 빠르게 개념 파악할 때 좋습니다
R023,연구기획,팀장,2,2,2,5,답변이 맞는지 매번 다시 확인해야 해서 오히려 시간이 듭니다
R024,R&D전략,사원,5,5,5,4,검색보다 빠르게 개념 파악할 때 좋습니다
R025,경영지원,사원,2,3,3,3,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R026,마케팅,차장,4,4,3,4,보고서 초안 잡을 때 제일 많이 씁니다
R027,사업개발,팀장,4,5,3,3,요약 기능은 만족합니다
R028,사업개발,차장,3,3,2,5,보고서 초안 잡을 때 제일 많이 씁니다
R029,사업개발,과장,5,5,5,3,회의록 정리 시간이 확실히 줄었어요
R030,연구기획,과장,3,4,4,4,보안 때문에 어디까지 입력해도 되는지 기준이 없어서 불안합니다
R031,마케팅,차장,3,3,1,3,회의록 정리 시간이 확실히 줄었어요
R032,마케팅,사원,4,3,3,3,회의록 정리 시간이 확실히 줄었어요
R033,마케팅,사원,2,1,1,5,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R034,연구기획,과장,5,5,4,4,번역 품질이 생각보다 좋아요
R035,사업개발,팀장,4,4,2,3,
R036,임상개발,사원,1,1,1,4,답변이 맞는지 매번 다시 확인해야 해서 오히려 시간이 듭니다
R037,경영지원,과장,2,2,3,5,보안 때문에 어디까지 입력해도 되는지 기준이 없어서 불안합니다
R038,R&D전략,사원,3,2,2,4,요약 기능은 만족합니다
R039,연구기획,과장,2,2,1,4,보안 때문에 어디까지 입력해도 되는지 기준이 없어서 불안합니다
R040,R&D전략,사원,4,3,5,4,회의록 정리 시간이 확실히 줄었어요
R041,경영지원,차장,4,4,5,5,요약 기능은 만족합니다
R042,마케팅,팀장,3,3,1,4,보고서 초안 잡을 때 제일 많이 씁니다
R043,임상개발,대리,4,4,4,3,회의록 정리 시간이 확실히 줄었어요
R044,연구기획,대리,1,2,1,4,보안 때문에 어디까지 입력해도 되는지 기준이 없어서 불안합니다
R045,임상개발,대리,1,1,2,4,사내 자료는 못 보니까 반쪽짜리 같아요
R046,연구기획,차장,1,1,2,4,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R047,임상개발,과장,4,3,3,5,검색보다 빠르게 개념 파악할 때 좋습니다
R048,R&D전략,과장,2,3,2,3,보안 때문에 어디까지 입력해도 되는지 기준이 없어서 불안합니다
R049,경영지원,과장,4,3,5,4,회의록 정리 시간이 확실히 줄었어요
R050,경영지원,차장,3,3,3,3,
R051,마케팅,과장,4,5,2,4,번역 품질이 생각보다 좋아요
R052,임상개발,차장,1,1,1,5,교육 없이 도입만 해서 활용도가 낮은 것 같아요
R053,마케팅,팀장,2,3,3,4,사내 자료는 못 보니까 반쪽짜리 같아요
R054,마케팅,팀장,3,3,2,5,요약 기능은 만족합니다
R055,사업개발,대리,3,4,2,5,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R056,경영지원,과장,2,2,1,4,최신 논문이나 데이터는 못 찾아주는 것 같습니다
R057,사업개발,팀장,4,3,2,4,영어 메일 쓸 때 유용해요
R058,사업개발,차장,1,2,1,5,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R059,경영지원,팀장,3,4,2,4,보고서 초안 잡을 때 제일 많이 씁니다
R060,경영지원,팀장,4,5,3,5,보고서 초안 잡을 때 제일 많이 씁니다
R061,사업개발,대리,2,3,3,5,출처를 안 줘서 보고서에 쓰기 애매합니다
R062,마케팅,차장,3,3,2,4,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R063,임상개발,과장,2,1,2,4,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R064,경영지원,대리,3,3,2,5,영어 메일 쓸 때 유용해요
R065,사업개발,차장,1,2,1,5,프롬프트를 어떻게 써야 할지 몰라서 잘 안 쓰게 돼요
R066,R&D전략,과장,5,4,5,5,
R067,임상개발,차장,5,5,5,4,
R068,연구기획,팀장,5,5,4,5,번역 품질이 생각보다 좋아요
R069,사업개발,대리,5,4,5,4,회의록 정리 시간이 확실히 줄었어요
R070,임상개발,차장,5,5,5,4,번역 품질이 생각보다 좋아요
R071,경영지원,팀장,5,4,5,3,요약 기능은 만족합니다
R072,연구기획,대리,4,3,2,3,검색보다 빠르게 개념 파악할 때 좋습니다
R073,마케팅,대리,2,2,3,3,사내 자료는 못 보니까 반쪽짜리 같아요
R074,임상개발,사원,4,4,2,4,번역 품질이 생각보다 좋아요
R075,마케팅,대리,4,5,3,3,
R076,사업개발,과장,4,3,4,5,보고서 초안 잡을 때 제일 많이 씁니다
R077,사업개발,과장,4,5,5,3,회의록 정리 시간이 확실히 줄었어요
R078,경영지원,팀장,3,3,4,4,교육 없이 도입만 해서 활용도가 낮은 것 같아요
R079,경영지원,팀장,2,3,3,5,최신 논문이나 데이터는 못 찾아주는 것 같습니다
R080,사업개발,팀장,4,4,5,4,보고서 초안 잡을 때 제일 많이 씁니다
R081,연구기획,차장,5,4,5,4,번역 품질이 생각보다 좋아요
R082,R&D전략,팀장,4,4,4,5,번역 품질이 생각보다 좋아요
R083,연구기획,차장,1,2,2,5,사내 자료는 못 보니까 반쪽짜리 같아요
